Word,Meaning_Probab
get,0
Zoa,0
Vip,0
rug,0
Tai,0
sax,0
yon,0
mog,0
all,0
tib,0
Dick,0
post,0
fand,0
etui,0
foud,0
yawl,0
yock,0
blat,0
Herb,0
come,0
oyer,0
Mart,0
Bana,0
gufa,0
gaup,0
koel,0
Hein,0
oozy,0
Maja,0
yerb,0
tile,0
twat,0
wane,0
size,0
sort,0
bird,0
knot,0
Ofer,0
twal,0
tung,0
Lasi,0
dive,0
Neal,0
saco,0
jocu,0
pipa,0
road,0
gaol,0
sego,0
grue,0
Mojo,0
wyle,0
foot,0
fowl,0
tice,0
tock,0
Arya,0
weft,0
yobi,0
Niue,0
tram,0
brot,0
sung,0
puky,0
list,0
Shik,0
coca,0
epee,0
pupa,0
bade,0
tall,0
noop,0
hold,0
lucy,0
hiro,0
auge,0
chad,0
cank,0
bees,0
cyst,0
ecad,0
yarm,0
biod,0
egma,0
part,0
Goth,0
jest,0
Fiji,0
scut,0
wene,0
lure,0
baho,0
dock,0
kiwi,0
hide,0
reim,0
flak,0
plum,0
skaw,0
gish,0
unca,0
knob,0
wulk,0
caum,0
gaur,0
wran,0
wapp,0
olid,0
zizz,0
quot,0
watt,0
Tony,0
pard,0
quod,0
burt,0
pelf,0
rory,0
Mike,0
Lars,0
tass,0
dais,0
smee,0
meng,0
troy,0
reit,0
Siam,0
frow,0
Arum,0
zoon,0
Absi,0
Remi,0
whew,0
roey,0
ikey,0
mole,0
cram,0
alba,0
when,0
veal,0
yarn,0
rype,0
Nora,0
safe,0
hewn,0
past,0
Chora,0
gibby,0
hurds,0
sidhe,0
clype,0
atone,0
stoff,0
Mysis,0
batad,0
rohun,0
prove,0
suist,0
wroke,0
moted,0
jowel,0
among,0
Zizia,0
bergy,0
gyric,0
cotch,0
panax,0
whiba,0
mille,0
halal,0
comfy,0
risky,0
bouse,0
teach,0
Teman,0
tutin,0
photo,0
chant,0
ental,0
snock,0
uvrou,0
hazen,0
zoeal,0
dumpy,0
hazel,0
nohow,0
mesem,0
myoma,0
bussu,0
noway,0
briss,0
curvy,0
gonne,0
Colan,0
rayon,0
erect,0
unlie,0
palas,0
geoid,0
Catti,0
ankus,0
inaja,0
whulk,0
Sukey,0
Cetid,0
Linos,0
hilus,0
blimy,0
bauch,0
Molly,0
lepra,0
Larry,0
ansar,0
finer,0
newel,0
Doyle,0
Achen,0
selva,0
aweel,0
Aueto,0
Aldus,0
ephor,0
runty,0
exlex,0
chaus,0
juice,0
toran,0
furan,0
Yuruk,0
alarm,0
Conor,0
trike,0
letup,0
Ferio,0
taunt,0
booky,0
adjag,0
kella,0
ribat,0
agasp,0
elvet,0
holla,0
jaman,0
jocko,0
Caddo,0
lerot,0
wince,0
daven,0
canto,0
squab,0
steer,0
ngaio,0
fairy,0
sides,0
goyim,0
teary,0
vomer,0
funky,0
altin,0
recta,0
taroc,0
tedge,0
neper,0
claut,0
blurb,0
karma,0
dukhn,0
clamb,0
flood,0
gimel,0
warly,0
koine,0
silen,0
Urian,0
baize,0
enemy,0
eimer,0
Bundu,0
poler,0
Yuman,0
metze,0
gorra,0
chert,0
middy,0
milty,0
devil,0
Della,0
sowan,0
siroc,0
group,0
bipod,0
yabby,0
toldo,0
piled,0
widdy,0
davit,0
snork,0
shrag,0
bruke,0
agnel,0
uparm,0
udasi,0
nappe,0
boxty,0
Pigmy,0
phare,0
synod,0
tembe,0
viola,0
grant,0
arras,0
unnew,0
taxed,0
Janet,0
regal,0
dingo,0
oulap,0
zemmi,0
titre,0
disme,0
Marko,0
snerp,0
alkyl,0
cetin,0
which,0
litas,0
begut,0
diamb,0
Ijore,0
pyxis,0
glean,0
Upupa,0
morat,0
fovea,0
chime,0
sloth,0
arrie,0
Shina,0
jasey,0
color,0
Ineri,0
fader,0
livre,0
sicca,0
nurse,0
cebil,0
mouls,0
poter,0
ambit,0
Maggy,0
unmix,0
regma,0
knowe,0
pocky,0
Mizar,0
foist,0
civic,0
